,IATA,Latitude,Longitude
291,EBM,31.70429992675781,9.254619598388672
292,SFA,34.71799850463867,10.690999984741213
293,TOE,33.939701080322266,8.110560417175293
294,LRL,9.767330169677734,1.0912499427795408
295,LFW,6.165609836578369,1.2545100450515747
296,ANR,51.189399719200004,4.46027994156
297,\N,50.75859832763672,4.768330097198486
298,\N,51.168301,5.47
299,BRU,50.9014015198,4.48443984985
300,\N,49.8917007446289,5.223889827728272
301,CRL,50.4592018127,4.453820228580001
302,\N,50.57580184936523,3.8310000896453857
303,\N,51.09030151367188,2.652780055999756
304,\N,50.2433013916,4.64583015442
305,QKT,50.817199707,3.2047200202900004
306,LGG,50.63740158081055,5.443220138549805
307,OST,51.1988983154,2.8622200489
308,\N,50.9474983215332,5.590559959411621
309,\N,50.791900634799994,5.201670169830001
310,\N,50.034400939941406,5.440810203552246
311,\N,51.14419937133789,3.475559949874878
312,\N,51.394798278808594,4.9601898193359375
313,\N,51.264702,4.75333
314,\N,51.19361114501953,14.51972198486328
315,AOC,50.9819450378418,12.506388664245605
316,\N,51.83169354100001,12.1909618378
317,\N,52.195856,14.58753
318,\N,51.30805587768555,13.555556297302244
319,\N,51.3630556,11.940833300000001
320,\N,51.552223,12.053889
321,\N,51.293609619099996,13.3561105728
322,\N,53.306388855,12.7522220612
323,\N,52.5805549621582,13.916666984558105
324,\N,52.2036094666,13.1563892365
325,BBH,54.338253,12.710515
326,\N,50.91527938842773,11.714444160461426
327,\N,52.91888809204102,12.425277709960938
328,\N,52.073612,11.626389
329,\N,51.36333465576172,14.949999809265135
330,\N,53.83277893066406,13.66861057281494
331,\N,51.889441999999995,14.531944000000001
332,\N,51.29694366455078,14.1274995803833
333,SXF,52.38000106811499,13.522500038147
334,DRS,51.1328010559082,13.767200469970705
335,ERF,50.97980117797852,10.958100318908693
336,FRA,50.033333299999995,8.5705556
337,FMO,52.134601593,7.68483018875
338,HAM,53.630401611328004,9.988229751586902
339,THF,52.472999572753906,13.403900146484375
340,CGN,50.865898132299996,7.1427397728
341,DUS,51.28950119018555,6.766779899597168
342,MUC,48.353801727295,11.786100387572999
343,NUE,49.498699,11.078055599999999
344,LEJ,51.423888899999994,12.236388900000001
345,SCN,49.2145996094,7.10950994492
346,STR,48.6898994446,9.22196006775
347,TXL,52.559700012200004,13.287699699400001
348,HAJ,52.461101532,9.68507957458
349,BRE,53.0475006104,8.78666973114
350,QEF,49.959999084472656,8.645833015441895
351,HHN,49.948699951200005,7.263889789579999
352,MHG,49.47305679321289,8.514166831970215
353,\N,51.03499984741211,8.680832862854004
354,\N,49.606945,8.368333
355,\N,49.967499,8.147222
356,\N,50.991603999999995,10.47973
357,\N,50.70769882202149,8.082969665527344
358,XFW,53.5352783203125,9.835556030273438
359,KEL,54.37944412231445,10.145277976989746
360,LBC,53.805400848400005,10.7192001343
